Date,Value
2017.05.23,2480.19449400
2017.05.24,2533.22887300
2017.05.25,2578.35712300
2017.05.26,2616.94999000
2017.05.27,2614.52802800
2017.05.28,2612.10606600
2017.05.29,2609.68410400
2017.05.30,2607.26214200
2017.05.31,2590.79272100
2017.06.01,2665.10740300
2017.06.02,2745.32091900
2017.06.03,2753.08956933
2017.06.04,2760.85821967
2017.06.05,2768.62687000
2017.06.06,2766.21032400
2017.06.07,2749.91312600
2017.06.08,2751.87945600
2017.06.09,2780.00127000
2017.06.10,2786.41598500
2017.06.11,2792.83070000
2017.06.12,2799.24541500
2017.06.13,2868.10293200
2017.06.14,2908.28559500
2017.06.15,2898.50034300
2017.06.16,2902.94145100
2017.06.17,2914.10226467
2017.06.18,2925.26307833
2017.06.19,2936.42389200
2017.06.20,2892.61925900
2017.06.21,2801.95320100
2017.06.22,2740.12395600
2017.06.23,2733.10933100
2017.06.24,2742.92164767
2017.06.25,2752.73396433
2017.06.26,2762.54628100
2017.06.27,2732.10214100
2017.06.28,2776.51189100
2017.06.29,2745.49966800
2017.06.30,2743.80671800
2017.07.01,2761.78454967
2017.07.02,2779.76238133
2017.07.03,2797.74021300
2017.07.04,2799.55243150
2017.07.05,2801.36465000
2017.07.06,2703.35672100
2017.07.07,2667.39315700
2017.07.08,2655.16455300
2017.07.09,2642.93594900
2017.07.10,2630.70734500
2017.07.11,2599.88743800
2017.07.12,2643.98698100
2017.07.13,2679.97215500
2017.07.14,2765.63961800
2017.07.15,2792.96211233
2017.07.16,2820.28460667
2017.07.17,2847.60710100
2017.07.18,2903.40126400
2017.07.19,3012.98826600
2017.07.20,3098.57021200
2017.07.21,3153.89992500
2017.07.22,3160.07905967
2017.07.23,3166.25819433
2017.07.24,3172.43732900
2017.07.25,3211.52462400
2017.07.26,3236.23663700
2017.07.27,3231.33422600
2017.07.28,3227.98599300
2017.07.29,3226.40176967
2017.07.30,3224.81754633
2017.07.31,3223.23332300
2017.08.01,3238.20362500
2017.08.02,3210.36221400
2017.08.03,3154.20599700
2017.08.04,3114.57140100
2017.08.05,3097.73458900
2017.08.06,3080.89777700
2017.08.07,3064.06096500
2017.08.08,2971.15423700
2017.08.09,2824.11321400
2017.08.10,2578.82257200
2017.08.11,2371.45496100
2017.08.12,2336.28610033
2017.08.13,2301.11723967
2017.08.14,2265.94837900
2017.08.15,2129.11050900
2017.08.16,2037.36857800
2017.08.17,1859.44238400
2017.08.18,1713.16827600
2017.08.19,1671.02487500
2017.08.20,1628.88147400
2017.08.21,1586.73807300
2017.08.22,1539.65655800
2017.08.23,1505.05358100
2017.08.24,1475.29276700
2017.08.25,1498.67080700
2017.08.26,1501.13576400
2017.08.27,1503.60072100
2017.08.28,1506.06567800
2017.08.29,1507.30796400
2017.08.30,1541.13357800
2017.08.31,1636.34881100
2017.09.01,1773.07609100
2017.09.02,1786.58520200
2017.09.03,1800.09431300
2017.09.04,1813.60342400
2017.09.05,1827.11253500
2017.09.06,1904.77813100
2017.09.07,1970.10832600
2017.09.08,2008.51510100
2017.09.09,2046.13017333
2017.09.10,2083.74524567
2017.09.11,2121.36031800
2017.09.12,2249.13617700
2017.09.13,2359.53885500
2017.09.14,2454.38545100
2017.09.15,2528.30736300
2017.09.16,2553.59459567
2017.09.17,2578.88182833
2017.09.18,2604.16906100
2017.09.19,2670.05996800
2017.09.20,2735.84639300
2017.09.21,2763.21455400
2017.09.22,2819.69826000
2017.09.23,2839.01328567
2017.09.24,2858.32831133
2017.09.25,2877.64333700
2017.09.26,2937.29816100
2017.09.27,2998.51654400
2017.09.28,3068.01568000
2017.09.29,3147.79736200
2017.09.30,3180.58881267
2017.10.01,3213.38026333
2017.10.02,3246.17171400
2017.10.03,3337.60092600
2017.10.04,3400.93489700
2017.10.05,3476.43076900
2017.10.06,3488.74758500
2017.10.07,3482.35996500
2017.10.08,3475.97234500
2017.10.09,3469.58472500
2017.10.10,3485.50255600
2017.10.11,3514.13478800
2017.10.12,3534.44467300
2017.10.13,3566.83740200
2017.10.14,3571.02460033
2017.10.15,3575.21179867
2017.10.16,3579.39899700
2017.10.17,3557.04216700
2017.10.18,3530.34186600
2017.10.19,3497.71139900
2017.10.20,3489.17379300
2017.10.21,3467.25861900
2017.10.22,3445.34344500
2017.10.23,3423.42827100
2017.10.24,3367.74870800
2017.10.25,3235.75393800
2017.10.26,3118.91964000
2017.10.27,3043.98171800
2017.10.28,3008.56777367
2017.10.29,2973.15382933
2017.10.30,2937.73988500
2017.10.31,2875.06441900
2017.11.01,2820.95157300
2017.11.02,2764.18033200
2017.11.03,2701.37001900
2017.11.04,2689.03346333
2017.11.05,2676.69690767
2017.11.06,2664.36035200
2017.11.07,2602.09528400
2017.11.08,2543.39817500
2017.11.09,2450.29515600
2017.11.10,2343.24059900
2017.11.11,2305.65798267
2017.11.12,2268.07536633
2017.11.13,2230.49275000
2017.11.14,2100.29087500
2017.11.15,1941.26681700
2017.11.16,1873.94491400
2017.11.17,1855.36496200
2017.11.18,1858.07740067
2017.11.19,1860.78983933
2017.11.20,1863.50227800
2017.11.21,1918.54217300
2017.11.22,1979.00857100
2017.11.23,2018.63543500
2017.11.24,2058.26229900
2017.11.25,2067.21917433
2017.11.26,2076.17604967
2017.11.27,2085.13292500
2017.11.28,2156.43164600
2017.11.29,2212.80989300
2017.11.30,2278.39924600
2017.12.01,2332.53614600
2017.12.02,2346.54426900
2017.12.03,2360.55239200
2017.12.04,2374.56051500
2017.12.05,2362.21854800
2017.12.06,2321.95507300
2017.12.07,2318.47002700
2017.12.08,2339.14796200
2017.12.09,2346.52592700
2017.12.10,2353.90389200
2017.12.11,2361.28185700
2017.12.12,2359.99992800
2017.12.13,2369.40387900
2017.12.14,2326.49723700
2017.12.15,2339.92957300
2017.12.16,2362.37457267
2017.12.17,2384.81957233
2017.12.18,2407.26457200
2017.12.19,2414.94967300
2017.12.20,2414.99568600
2017.12.21,2439.46004900
2017.12.22,2454.42977900
2017.12.23,2460.69902150
2017.12.24,2466.96826400
2017.12.25,2473.23750650
2017.12.26,2479.50674900
2017.12.27,2510.10002500
2017.12.28,2575.00677600
2017.12.29,2595.92701400
2017.12.30,2607.09130600
2017.12.31,2618.25559800
2018.01.01,2629.41989000
2018.01.02,2640.58418200
2018.01.03,2698.01314000
2018.01.04,2766.22483400
2018.01.05,2847.01470700
2018.01.06,2874.91146333
2018.01.07,2902.80821967
2018.01.08,2930.70497600
2018.01.09,2967.55663100
2018.01.10,2956.27701200
2018.01.11,3017.50155300
2018.01.12,3070.76102800
2018.01.13,3066.69428950
2018.01.14,3062.62755100
2018.01.15,3058.56081250
2018.01.16,3054.49407400
2018.01.17,3074.26335800
2018.01.18,3082.44477900
2018.01.19,3127.92767000
2018.01.20,3150.52708133
2018.01.21,3173.12649267
2018.01.22,3195.72590400
2018.01.23,3277.86476400
2018.01.24,3318.70416500
2018.01.25,3329.17833300
2018.01.26,3340.93785500
2018.01.27,3308.60442200
2018.01.28,3276.27098900
2018.01.29,3243.93755600
2018.01.30,3057.98261300
2018.01.31,2899.70122400
2018.02.01,2738.02213000
2018.02.02,2470.59639400
2018.02.03,2351.57906533
2018.02.04,2232.56173667
2018.02.05,2113.54440800
2018.02.06,1869.09723800
2018.02.07,1661.84942100
2018.02.08,1363.64329100
2018.02.09,1135.25883300
2018.02.10,1093.12716433
2018.02.11,1050.99549567
2018.02.12,1008.86382700
2018.02.13,921.65177800
2018.02.14,904.92721720
2018.02.15,948.35308160
2018.02.16,1011.69043000
2018.02.17,1012.83917525
2018.02.18,1013.98792050
2018.02.19,1015.13666575
2018.02.20,1016.28541100
2018.02.21,1008.83269300
2018.02.22,1009.96645500
2018.02.23,1105.18599000
2018.02.24,1148.51491400
2018.02.25,1191.84383800
2018.02.26,1235.17276200
2018.02.27,1264.23558800
2018.02.28,1225.26312700
2018.03.01,1161.21535700
2018.03.02,1144.19843600
2018.03.03,1162.40828300
2018.03.04,1180.61813000
2018.03.05,1198.82797700
2018.03.06,1300.14209500
2018.03.07,1391.86495500
2018.03.08,1491.17867600
2018.03.09,1643.18601400
2018.03.10,1690.50279500
2018.03.11,1737.81957600
2018.03.12,1785.13635700
2018.03.13,1874.02821900
2018.03.14,1923.16062000
2018.03.15,1922.30302000
2018.03.16,1966.65825700
2018.03.17,1949.40506900
2018.03.18,1932.15188100
2018.03.19,1914.89869300
2018.03.20,1848.61977200
2018.03.21,1810.65819600
2018.03.22,1681.64775800
2018.03.23,1479.13559400
2018.03.24,1447.82106800
2018.03.25,1416.50654200
2018.03.26,1385.19201600
2018.03.27,1249.69429700
2018.03.28,1137.99527600
2018.03.29,1126.00263600
2018.03.30,1100.21920600
2018.03.31,1074.43577600
2018.04.01,1048.65234600
2018.04.02,1022.86891600
2018.04.03,1005.57524100
2018.04.04,1046.76127200
2018.04.05,1149.64152300
2018.04.06,1152.45592900
2018.04.07,1167.70394167
2018.04.08,1182.95195433
2018.04.09,1198.19996700
2018.04.10,1312.02012000
2018.04.11,1409.97625000
2018.04.12,1504.37886000
2018.04.13,1563.82119700
2018.04.14,1602.12256100
2018.04.15,1640.42392500
2018.04.16,1678.72528900
2018.04.17,1841.97466100
2018.04.18,1993.34300100
2018.04.19,2062.74621700
2018.04.20,2067.67223600
2018.04.21,2062.99669733
2018.04.22,2058.32115867
2018.04.23,2053.64562000
2018.04.24,1993.78463600
2018.04.25,1918.18457100
2018.04.26,1900.15559300
2018.04.27,1902.39003900
2018.04.28,1889.10620567
2018.04.29,1875.82237233
2018.04.30,1862.53853900
2018.05.01,1833.05281500
2018.05.02,1798.02725600
2018.05.03,1739.49026800
2018.05.04,1760.59369100
2018.05.05,1778.44051033
2018.05.06,1796.28732967
2018.05.07,1814.13414900
2018.05.08,1858.54057000
2018.05.09,1928.86535800
2018.05.10,2048.99872400
2018.05.11,2162.26775900
2018.05.12,2190.09565400
2018.05.13,2217.92354900
2018.05.14,2245.75144400
2018.05.15,2270.10123900
2018.05.16,2329.66980600
2018.05.17,2386.00258300
2018.05.18,2431.43709400
2018.05.19,2461.71686767
2018.05.20,2491.99664133
2018.05.21,2522.27641500
2018.05.22,2563.33265300
2018.05.23,2596.86907300
2018.05.24,2616.80836600
2018.05.25,2614.17242100
2018.05.26,2605.34127200
2018.05.27,2596.51012300
2018.05.28,2587.67897400
2018.05.29,2578.84782500
2018.05.30,2632.75105700
2018.05.31,2630.97456400
2018.06.01,2681.55079100
2018.06.02,2708.17909733
2018.06.03,2734.80740367
2018.06.04,2761.43571000
2018.06.05,2849.33013800
2018.06.06,2957.98322300
